,code,name,ss,trade
254,312,SHIRBLE STORE    HKD   ,1932000,774360
255,315,SMARTONE TELE    HKD  ,822200,10406122
256,316,OOIL             HKD  ,458496,23465311
257,317,GUANGZHOU SHIP   HKD   ,318600,2134544
258,319,CHINA METAL      HKD   ,20000,33560
259,321,TEXWINCA HOLD    HKD   ,2082000,17034200
260,322,TINGYI           HKD  ,5090000,103861906
261,323,MAANSHAN IRON    HKD   ,6084000,12553516
262,326,CHINA STAR ENT   HKD   ,9095180,3597311
263,327,PAX GLOBAL       HKD   ,1503000,2703870
264,328,ALCO HOLDINGS    HKD   ,14000,22960
265,329,DRAGONITE INT'L  HKD   ,1212000,797360
266,330,ESPRIT HOLDINGS  HKD   ,4590164,43188543
267,331,PCD STORES       HKD   ,12544000,14737580
268,332,NGAI LIK IND     HKD   ,1044514,1137364
269,333,TOP FORM INT'L   HKD   ,22000,7830
270,335,UPBEST GROUP     HKD   ,20000,20000
271,336,HUABAO INTL      HKD   ,17725000,60222290
272,337,SPG LAND         HKD   ,1329000,3741510
273,338,SHANGHAI PECHEM  HKD   ,27548000,95382906
274,340,CHINA MINING     HKD   ,66086000,6010114
275,341,CAFE DE CORAL H  HKD  ,562000,13040165
276,342,NEWOCEAN ENERGY  HKD   ,5045999,22894765
277,343,CULTURECOM HOLD  HKD   ,338000,525400
278,345,VITASOY INT'L    HKD   ,420000,3646450
279,346,YANCHANG PETRO   HKD   ,14940000,7645100
280,347,ANGANG STEEL     HKD   ,7596000,34312080
281,348,LUNG CHEONG      HKD   ,1294000,467660
282,350,JINGWEI TEXTILE  HKD   ,1662000,9957500
283,351,ASIA ENERGY LOG  HKD   ,3563000,296725
284,353,ENERGY INTINV    HKD   ,1860000,46502
285,354,CHINASOFT INT'L  HKD   ,1700000,2945200
286,355,CENTURY C INT'L  HKD   ,3567317,2040274
287,357,MEILAN AIRPORT   HKD   ,230000,1672720
288,358,JIANGXI COPPER   HKD  ,7587926,130332457
289,359,HAISHENG JUICE   HKD   ,56000,26320
290,360,NEW FOCUS AUTO   HKD   ,136000,94360
291,362,C ZENITH CHEM    HKD   ,2645000,563775
292,363,SHANGHAI IND H   HKD  ,2021806,49225037
293,364,HUAFENG GROUP    HKD   ,332000,69864
294,366,LUKS GROUP (VN)  HKD   ,290000,648460
295,367,CHUANG'S INT'L   HKD   ,556032,584113
296,368,SINOTRANS SHIP   HKD   ,907000,1905770
297,370,CHINA BEST       HKD   ,2960000,236920
298,371,BJ ENT WATER     HKD   ,10473000,23932160
299,372,ITC CORPORATION  HKD   ,4228000,2505480
300,374,FOUR SEAS MER    HKD   ,36000,90600
301,375,YGM TRADING      HKD  ,57000,1254450
302,376,REORIENT GROUP   HKD   ,10000,29900
303,377,NEW ISLAND       HKD   ,2236000,3198680
304,378,CIAM GROUP       HKD   ,60000,56500
