,code,name,ss,trade,vwap
357,474,HAO TIAN RES GP  HKD   ,44228000,13638680,0.30837207199059419
358,476,SINOCOP RES      HKD   ,1430000,854300,0.5974125874125874
359,477,AUPU GROUP HLDG  HKD   ,640000,437440,0.6835
360,479,CIL HOLDINGS     HKD   ,540000,56980,0.10551851851851853
361,480,HKR INT'L        HKD   ,582600,2424148,4.1609131479574319
362,482,SANDMARTIN INTL  HKD   ,104000,52360,0.50346153846153852
363,483,BAUHAUS INT'L    HKD   ,86000,98900,1.1499999999999999
364,485,STARLIGHT INT'L  HKD   ,310000,40120,0.12941935483870967
365,486,RUSAL            HKD   ,850000,3363450,3.9569999999999999
366,487,SUCCESSUNIVERSE  HKD   ,52000,9816,0.18876923076923077
367,488,LAI SUN DEV      HKD   ,27680795,6898651,0.24922156318125979
368,489,DONGFENG GROUP   HKD  ,13979863,147765680,10.569894712129868
369,491,SEE CORPORATION  HKD   ,1981000,144749,0.073068652195860673
370,493,GOME             HKD   ,42841000,38133993,0.89012845171681332
371,494,LI &amp; FUNG        HKD  ,12617743,136210348,10.795143632264502
372,495,PALADIN          HKD   ,100000,15000,0.14999999999999999
373,497,CSI PROPERTIES   HKD   ,40032354,14552873,0.36352778555065735
374,498,PYI CORP         HKD   ,10289180,1957394,0.19023809477528822
375,500,DVN (HOLDINGS)   HKD   ,478000,143425,0.30005230125523014
376,503,LANSEN PHARMA    HKD   ,240000,524040,2.1835
377,505,XINGYE COPPER    HKD   ,631000,574240,0.91004754358161644
378,506,CHINA FOODS      HKD   ,6390000,29576680,4.6285884194053208
379,508,DINGYI GP INV    HKD   ,5290000,1311940,0.24800378071833648
380,509,SUNSHINE         HKD   ,1800000,1369850,0.76102777777777775
381,510,CASH FIN SER GP  HKD   ,60000,5220,0.086999999999999994
382,511,TVB              HKD  ,305100,17989843,58.963759423139955
383,512,CHINAGRANDPHARM  HKD   ,480000,247600,0.51583333333333337
384,513,CONTINENTAL H    HKD   ,1370000,141530,0.10330656934306569
