,code,out_shares
940,1685,776469000
941,1699,800000000
942,1700,2500000000
943,1708,91800000
944,1728,2210025640
945,1733,3773198693
946,1766,2024000000
947,1768,3418420250
948,1777,5207221750
949,1788,1725500000
950,1798,2501071100
951,1800,4427500000
952,1803,400000000
953,1812,391270000
954,1813,2893150000
955,1818,874346000
956,1822,933750000
957,1828,1830843000
958,1829,908270000
959,1830,1000000000
960,1831,839942121
961,1833,2010991488
962,1836,794379500
963,1838,1809077000
964,1866,1000000000
965,1868,939319694
966,1878,181947310
967,1880,8434233000
968,1881,3257431189
969,1882,1596000000
970,1883,2398683370
971,1886,1477952792
972,1888,3000000000
973,1889,1709772500
974,1893,1164148115
975,1898,4106663000
976,1899,1524776693
977,1900,1645608261
978,1910,1407137004
979,1913,2558824000
980,1918,3317046125
981,1919,2580600000
982,1928,8055626106
983,1929,10000000000
984,1938,1011142000
985,1966,2853200000
986,1968,2098029394
987,1972,5850000000
988,1988,5777982840
989,1991,778541000
990,1997,2149765464
991,1998,812600000
992,1999,891030000
993,2000,2557498500
994,2002,802588000
995,2005,2929925385
996,2006,1391500000
997,2007,18229660154
998,2008,4994085500
999,2009,1169382435
1000,2010,1123036000
1001,2011,415000000
1002,2012,2862928161
1003,2018,1228000000
1004,2020,2494163000
1005,2028,559992000
1006,2033,2079946000
1007,2038,7448018334
1008,2039,1430480509
1009,2068,399476000
1010,2078,1200000000
1011,2083,1481823990
1012,2088,1008566555
1013,2098,3500000000
1014,2099,396358753
1015,2118,1000000000
1016,2121,802191000
1017,2123,941900000
1018,2128,3042766050
1019,2133,1994772000
1020,2168,1806830000
1021,2178,1037500000
1022,2188,830000000
1023,2196,336070000
1024,2198,993104000
1025,2200,1602305000
1026,2208,500046800
1027,2218,158452000
1028,2222,3128448000
1029,2223,200000000
1030,2228,776422000
1031,2233,4547199850
1032,2236,4064622000
1033,2238,2213300218
1034,2266,2000000000
1035,2268,1000000000
1036,2282,3800000001
1037,2288,477447000
1038,2299,2223000000
1039,2300,923147000
1040,2302,489168308
1041,2307,869919000
1042,2310,323896933
1043,2312,443479882
1044,2313,1330000000
1045,2314,4711320000
1046,2317,1522742000
1047,2318,3129732456
1048,2319,1781058642
1049,2322,724000000
1050,2324,1009286831
1051,2326,2015407214
1052,2328,3801578000
1053,2330,941453683
1054,2331,1055907629
1055,2333,1033180000
1056,2336,1069717000
1057,2338,485760000
1058,2340,332000000
1059,2341,483378000
1060,2342,1526196229
1061,2343,1936577119
1062,2345,759710000
1063,2348,800988000
1064,2349,1808722861
1065,2355,312221952
1066,2356,1251371105
1067,2357,2356433902
1068,2362,2754873051
1069,2366,937596148
1070,2368,499680000
1071,2369,2095841000
1072,2371,2021937239
1073,2380,5606524604
1074,2382,1000000000
1075,2383,3893270558
1076,2388,10572780266
1077,2389,4231337500
1078,2398,403200000
1079,2488,27360000
1080,2600,3943965968
1081,2601,2775300000
1082,2607,765893920
1083,2618,1128290456
1084,2623,720871584
1085,2626,1632728000
1086,2628,7441175000
1087,2662,968394000
1088,2678,884681173
1089,2688,1082859397
1090,2689,4663920811
1091,2698,413619000
1092,2700,904007900
1093,2722,1100187470
1094,2727,2972912000
1095,2728,321545564
1096,2777,1015258400
1097,2778,5671360403
1098,2789,6208734000
1099,2866,3751000000
1100,2868,1020756000
1101,2877,827000000
1102,2878,2456302351
1103,2880,1062600000
1104,2882,2756720440
1105,2883,1534852000
1106,2888,2417105437
1107,2889,2526316065
1108,2899,6008160000
1109,2984,875823986
1110,2985,677912609
1111,3300,1550147058
1112,3303,628799278
1113,3308,1934702000
1114,3311,3887447383
1115,3322,1268400000
1116,3323,2879171896
1117,3328,35011862630
1118,3330,297274000
1119,3331,999532686
1120,3333,16027061000
1121,3335,1040900000
1122,3336,1150162000
1123,3337,2139046319
1124,3339,4280100000
1125,3344,441250000
1126,3355,1131333472
1127,3360,3292400000
1128,3363,500000000
1129,3366,509790000
1130,3368,2810500250
1131,3377,5862172263
1132,3378,986700000
1133,3382,6158000000
1134,3383,3449450000
1135,3389,4366279054
1136,3393,929318675
1137,3398,2098568000
1138,3399,138000000
1139,3618,2513336041
1140,3633,2524007684
1141,3663,800000000
1142,3666,1475000000
1143,3669,1480022000
1144,3683,830000000
1145,3688,1001906500
1146,3777,1217300000
1147,3778,1012500000
1148,3788,1830000000
1149,3800,15477470268
1150,3808,2760993339
1151,3813,5332943953
1152,3816,600000000
1153,3818,5536401000
1154,3823,1076678000
1155,3828,697257697
1156,3833,759000000
1157,3838,5883097465
1158,3883,2615500000
1159,3886,910334710
1160,3888,1172984433
1161,3889,1527586000
1162,3898,456108400
1163,3899,1386253522
1164,3900,2152080190
1165,3918,2282078875
1166,3933,1626875000
1167,3939,600000000
1168,3948,163003500
1169,3968,3910478000
1170,3983,1771000000
1171,3988,83622276395
1172,3989,1862257039
1173,3993,1311156000
1174,3998,8007350000
1175,3999,1016109000
1176,6030,1178327700
1177,6210,259242052
1178,6808,9539704700
1179,6823,6416730792
1180,6828,209049373
1181,6830,800000000
1182,6837,1492590000
1183,6838,500000000
1184,6868,1227207460
1185,6880,319594000
1186,6883,1662128075
