symbol,date,time,volume,daily_rng,last_price,change,change_pct,52wH,52wH_pct,avg_vol
1555.HK,6/9/2017,3:59pm,2976000,0.70 - 0.85,0.71,0.01,+1.43%,-0.26,-26.80%,3253010.0
1556.HK,6/9/2017,3:56pm,985000,0.365 - 0.370,0.365,-0.005,-1.351%,-0.095,-20.652%,1366810.0
1557.HK,6/9/2017,2:57pm,348000,1.26 - 1.30,1.3,0.0,+0.00%,-0.3,-18.75%,
1558.HK,6/9/2017,3:59pm,230975,17.34 - 17.90,17.88,0.26,+1.48%,-0.54,-2.93%,680129.0
1559.HK,6/9/2017,9:30am,10000,1.82 - 1.82,1.82,-0.02,-1.09%,-0.9,-33.09%,
1560.HK,6/9/2017,3:59pm,1216000,1.01 - 1.06,1.04,0.0,+0.00%,-0.69,-39.71%,2313720.0
1561.HK,6/7/2017,3:59pm,288000,1.99 - 2.14,2.14,0.0,+0.00%,-0.96,-30.97%,
1565.HK,6/9/2017,3:59pm,2310000,5.23 - 5.29,5.28,-0.01,-0.19%,-0.26,-4.69%,2372650.0
1566.HK,6/9/2017,3:59pm,1084000,3.20 - 3.26,3.22,-0.04,-1.23%,-1.23,-27.64%,1195140.0
1568.HK,6/9/2017,3:59pm,1882000,4.46 - 4.54,4.51,0.01,+0.22%,-0.31,-6.43%,1978040.0
1569.HK,6/9/2017,3:59pm,5412000,1.31 - 1.36,1.34,-0.02,-1.47%,-0.36,-21.18%,20754400.0
1570.HK,6/9/2017,3:45pm,368000,3.35 - 3.39,3.35,0.02,+0.60%,-0.65,-16.25%,114164.0
1572.HK,6/9/2017,3:59pm,11672000,0.79 - 0.85,0.8,-0.03,-3.61%,-0.43,-34.96%,2872010.0
1573.HK,6/9/2017,3:30pm,188000,5.34 - 5.65,5.51,-0.04,-0.72%,-1.69,-23.47%,138075.0
1575.HK,6/9/2017,3:58pm,780000,1.68 - 1.72,1.72,0.02,+1.18%,-0.37,-17.70%,205493.0
1577.HK,6/9/2017,11:04am,28000,1.76 - 1.76,1.77,0.0,+0.00%,-0.63,-26.25%,555134.0
1578.HK,6/9/2017,1:23pm,20000,5.35 - 5.35,5.35,0.09,+1.71%,-2.13,-28.48%,359336.0
1579.HK,6/9/2017,3:59pm,23453000,4.00 - 4.17,4.1,0.1,+2.50%,-0.4,-8.89%,1105710.0
1580.HK,6/9/2017,3:59pm,5715000,1.25 - 1.75,1.28,-0.46,-26.44%,-3.57,-73.61%,4035580.0
1581.HK,6/9/2017,3:41pm,1655000,0.36 - 0.38,0.37,0.0,+0.00%,-0.45,-54.88%,1341790.0
1583.HK,6/9/2017,3:58pm,153900,2.52 - 2.54,2.52,-0.02,-0.79%,-6.67,-72.58%,475086.0
1585.HK,6/9/2017,3:59pm,21626000,1.71 - 1.75,1.74,0.02,+1.16%,-0.26,-13.00%,5243750.0
1586.HK,6/9/2017,3:58pm,132000,1.18 - 1.25,1.25,0.08,+6.84%,-0.79,-38.73%,164119.0
1588.HK,6/9/2017,3:43pm,17200,9.82 - 9.95,9.82,-0.08,-0.81%,-2.34,-19.24%,106000.0
1589.HK,6/9/2017,3:59pm,4527000,2.30 - 2.54,2.5,-0.02,-0.79%,-3.43,-57.84%,2782890.0
1591.HK,6/9/2017,3:54pm,15600000,0.104 - 0.106,0.105,0.0,+0.000%,-0.054,-33.962%,50403700.0
1596.HK,6/9/2017,3:59pm,137000,3.59 - 3.70,3.62,-0.01,-0.28%,-0.67,-15.62%,843269.0
1599.HK,6/9/2017,3:59pm,338000,4.18 - 4.35,4.35,0.07,+1.64%,-1.18,-21.34%,707363.0
1600.HK,6/9/2017,3:39pm,18000,4.22 - 4.24,4.2,-0.05,-1.18%,-3.78,-47.37%,104548.0
1606.HK,6/9/2017,9:41am,2000,1.85 - 1.85,1.86,0.0,+0.00%,-0.33,-15.07%,72552.0
1608.HK,6/9/2017,3:59pm,175000,4.93 - 4.98,4.96,-0.04,-0.80%,-0.34,-6.42%,652091.0
1609.HK,6/9/2017,2:41pm,460000,0.57 - 0.58,0.57,-0.01,-1.72%,-0.16,-21.92%,1718700.0
1610.HK,6/9/2017,3:59pm,2814000,1.50 - 1.52,1.52,0.02,+1.33%,-0.44,-22.45%,5333040.0
1611.HK,6/9/2017,3:50pm,110000,1.18 - 1.20,1.18,0.0,+0.00%,-0.92,-43.81%,590358.0
1612.HK,6/9/2017,1:53pm,74000,0.89 - 0.90,0.9,0.0,+0.00%,-0.4,-30.77%,374567.0
1613.HK,6/9/2017,2:46pm,2124800,0.126 - 0.135,0.135,0.0,+0.000%,-0.112,-45.344%,6263100.0
1616.HK,6/9/2017,3:59pm,744000,0.75 - 0.81,0.77,-0.02,-2.53%,-1.27,-62.25%,712503.0
1617.HK,6/9/2017,3:59pm,1318300,1.47 - 1.53,1.5,-0.05,-3.23%,-0.63,-29.58%,3341260.0
1618.HK,6/9/2017,4:08pm,9389000,2.57 - 2.63,2.58,-0.03,-1.15%,-0.81,-23.89%,11478800.0
1622.HK,6/9/2017,3:58pm,6442000,3.29 - 3.34,3.29,-0.03,-0.90%,-0.29,-8.10%,3465790.0
1623.HK,6/9/2017,3:59pm,2817000,1.31 - 1.38,1.34,-0.04,-2.90%,-1.24,-48.06%,3636660.0
1626.HK,6/8/2017,2:34pm,30000,2.76 - 2.81,2.76,0.0,+0.00%,-1.19,-30.13%,14179.0
1627.HK,6/9/2017,3:59pm,1058000,0.76 - 0.78,0.77,0.0,+0.00%,-0.64,-45.39%,3021220.0
